post_id,upload_date,content_id,media_id,traffic_id,likes,comments,shares,saves,reach,impressions,followers_gained,engagement_rate,total_engagement,engagement_growth_rate,high_engagement_flag,avg_engagement_by_media,is_outlier,traffic_source
IG0000013,2025-08-23 09:25:22.954916,13,1,6,78492,4567,3686,1694,1223295,1279889,493,6.91,88439,-0.0070419591586720065,0,115250.29181636726,0,Explore
IG0000014,2025-04-13 09:25:22.954916,14,3,3,152517,2030,275,12616,837272,1274052,792,13.14,167438,-0.004242380999987194,1,114632.7176658248,0,Reels Feed
IG0000015,2025-03-16 09:25:22.954916,15,1,1,29834,3242,1434,377,119869,377581,808,9.24,34887,0.08784211024389488,0,115250.29181636726,0,Home Feed
IG0000016,2024-12-06 09:25:22.954916,16,1,2,180946,4638,3852,2095,1713467,2211458,752,8.66,191531,1.5762157805332802,1,115250.29181636726,0,Hashtags
IG0000017,2025-07-11 09:25:22.954916,17,2,4,120368,9052,3429,12079,582403,653331,920,22.18,144928,0.014344171843597486,1,114825.70437121722,0,External
IG0000018,2025-01-08 09:25:22.954916,18,1,1,180326,9546,2854,11160,1031407,1181707,923,17.25,203886,0.040457964285091075,1,115250.29181636726,0,Home Feed
IG0000019,2025-06-20 09:25:22.954916,19,2,4,111231,6343,209,14970,61120,85737,892,154.84,132753,-0.03784233807712889,1,114825.70437121722,1,External
IG0000020,2025-06-13 09:25:22.954916,20,4,4,53222,2548,3798,11000,650215,885482,216,7.97,70568,-0.03784233807712889,0,114984.38732394367,0,External
IG0000021,2025-02-11 09:25:22.954916,21,4,4,139872,5166,1129,8812,1613651,1722166,87,9.0,154979,-0.11259499490553204,1,114984.38732394367,0,External
IG0000022,2025-10-04 09:25:22.954916,22,2,3,179760,1745,4286,13818,57656,115755,742,172.44,199609,0.09570235902554791,1,114825.70437121722,1,Reels Feed
IG0000023,2025-02-26 09:25:22.954916,23,2,1,150007,1442,3388,12082,1570109,2036282,311,8.2,166919,-0.11259499490553204,1,114825.70437121722,0,Home Feed
IG0000024,2025-03-20 09:25:22.954916,24,2,5,56044,5321,871,14241,389616,491014,64,15.58,76477,0.08784211024389488,0,114825.70437121722,0,Profile
IG0000025,2025-05-08 09:25:22.954916,25,4,5,141510,4389,2317,10188,1553546,1718024,394,9.22,158404,0.03191992545539479,1,114984.38732394367,0,Profile
IG0000026,2025-02-18 09:25:22.954916,26,3,2,77071,2115,2268,5573,7054,26092,243,333.54,87027,-0.11259499490553204,0,114632.7176658248,1,Hashtags
IG0000027,2024-11-29 09:25:22.954916,27,4,3,198903,709,2532,7163,1610322,1655482,925,12.64,209307,,1,114984.38732394367,0,Reels Feed
IG0000028,2025-10-19 09:25:22.954916,28,3,5,6178,3937,4023,10970,49036,272711,559,9.21,25108,0.09570235902554791,0,114632.7176658248,0,Profile
IG0000029,2025-08-01 09:25:22.954916,29,2,6,83922,9759,4502,10573,450443,741582,382,14.67,108756,-0.0070419591586720065,0,114825.70437121722,0,Explore
IG0000030,2025-07-26 09:25:22.954916,30,1,4,139696,4348,1417,4470,1264626,1289700,286,11.63,149931,0.014344171843597486,1,115250.29181636726,0,External
IG0000031,2025-04-25 09:25:22.954916,31,3,1,99119,529,15,14117,1941850,2105234,419,5.4,113780,-0.004242380999987194,0,114632.7176658248,0,Home Feed
IG0000032,2025-05-25 09:25:22.954916,32,4,5,182869,9458,3131,9914,1854517,1962959,114,10.46,205372,0.03191992545539479,1,114984.38732394367,0,Profile
IG0000033,2025-04-17 09:25:22.954916,33,1,1,166153,994,4272,3066,30495,138675,882,125.82,174485,-0.004242380999987194,1,115250.29181636726,1,Home Feed
IG0000034,2025-09-02 09:25:22.954916,34,2,6,30655,6902,2969,12917,1649160,2046106,888,2.61,53443,-0.07589373937921085,0,114825.70437121722,0,Explore
IG0000035,2025-07-14 09:25:22.954916,35,2,4,21308,4222,4339,13055,655786,756748,916,5.67,42924,0.014344171843597486,0,114825.70437121722,0,External
IG0000036,2025-02-02 09:25:22.954916,36,3,6,127939,6015,1725,4116,260626,749559,861,18.65,139795,-0.11259499490553204,1,114632.7176658248,0,Explore
IG0000037,2024-12-01 09:25:22.954916,37,1,3,51285,7705,3797,2518,1209734,1563306,336,4.18,65305,1.5762157805332802,0,115250.29181636726,0,Reels Feed
IG0000038,2025-11-08 09:25:22.954916,38,1,3,59876,4565,461,7632,898792,1297148,311,5.59,72534,-0.36360818237712866,0,115250.29181636726,0,Reels Feed
IG0000039,2025-04-11 09:25:22.954916,39,1,4,50998,4503,2231,10468,1478100,1705244,621,4.0,68200,-0.004242380999987194,0,115250.29181636726,0,External
IG0000040,2025-07-10 09:25:22.954916,40,1,2,18737,6615,250,6172,1294970,1736215,907,1.83,31774,0.014344171843597486,0,115250.29181636726,0,Hashtags
IG0000041,2024-11-25 09:25:22.954916,41,3,4,78059,5416,419,8377,1316621,1752540,359,5.26,92271,,0,114632.7176658248,0,External
IG0000042,2025-01-24 09:25:22.954916,42,4,6,65342,1290,1139,3464,1161849,1639267,184,4.35,71235,0.040457964285091075,0,114984.38732394367,0,Explore
IG0000043,2025-10-21 09:25:22.954916,43,4,3,140896,1729,4453,2717,647882,1084676,872,13.81,149795,0.09570235902554791,1,114984.38732394367,0,Reels Feed
IG0000044,2025-06-09 09:25:22.954916,44,3,3,113836,226,1319,10216,1085399,1511909,409,8.31,125597,-0.03784233807712889,1,114632.7176658248,0,Reels Feed
IG0000045,2025-06-28 09:25:22.954916,45,4,4,9849,8809,1503,14583,76465,366587,419,9.48,34744,-0.03784233807712889,0,114984.38732394367,0,External
IG0000046,2025-07-29 09:25:22.954916,46,3,5,199799,10000,4736,1895,287485,653395,924,33.12,216430,0.014344171843597486,1,114632.7176658248,1,Profile
IG0000047,2025-05-17 09:25:22.954916,47,1,2,55951,271,4931,6761,791098,1024309,49,6.63,67914,0.03191992545539479,0,115250.29181636726,0,Hashtags
IG0000048,2024-12-08 09:25:22.954916,48,4,1,92643,1642,160,12118,312299,510800,335,20.86,106563,1.5762157805332802,0,114984.38732394367,0,Home Feed
IG0000049,2025-07-23 09:25:22.954916,49,2,4,71897,4958,48,9142,169872,370142,885,23.25,86045,0.014344171843597486,0,114825.70437121722,0,External
IG0000050,2025-04-15 09:25:22.954916,50,3,4,56382,9141,713,4160,1483982,1496684,370,4.7,70396,-0.004242380999987194,0,114632.7176658248,0,External
IG0000051,2025-03-12 09:25:22.954916,51,2,3,121423,4768,3955,13871,1593846,1782426,426,8.08,144017,0.08784211024389488,1,114825.70437121722,0,Reels Feed
IG0000052,2025-10-15 09:25:22.954916,52,2,2,75538,2363,667,5729,1314525,1540196,870,5.47,84297,0.09570235902554791,0,114825.70437121722,0,Hashtags
IG0000053,2025-05-09 09:25:22.954916,53,2,4,94378,3201,3358,4704,735516,1001758,514,10.55,105641,0.03191992545539479,0,114825.70437121722,0,External
IG0000054,2025-04-22 09:25:22.954916,54,4,5,98569,2493,2853,14218,1265707,1526053,947,7.74,118133,-0.004242380999987194,1,114984.38732394367,0,Profile
IG0000055,2025-02-19 09:25:22.954916,55,2,4,2188,7455,3571,9184,1482516,1654011,637,1.35,22398,-0.11259499490553204,0,114825.70437121722,0,External
IG0000056,2025-07-23 09:25:22.954916,56,1,4,4739,502,2253,4011,221133,255290,576,4.51,11505,0.014344171843597486,0,115250.29181636726,0,External
IG0000057,2025-04-21 09:25:22.954916,57,2,1,60395,1113,1287,3334,1902423,1963003,621,3.37,66129,-0.004242380999987194,0,114825.70437121722,0,Home Feed
IG0000058,2025-02-15 09:25:22.954916,58,3,3,71753,3088,2025,7848,1016814,1338686,669,6.33,84714,-0.11259499490553204,0,114632.7176658248,0,Reels Feed
IG0000059,2025-02-11 09:25:22.954916,59,3,4,191385,1642,1593,7165,1943435,2166659,685,9.31,201785,-0.11259499490553204,1,114632.7176658248,0,External
IG0000060,2025-10-14 09:25:22.954916,60,1,6,59042,8574,1978,11350,1073192,1226471,574,6.6,80944,0.09570235902554791,0,115250.29181636726,0,Explore
IG0000061,2024-12-20 09:25:22.954916,61,4,2,133031,2984,2589,9452,316800,804931,80,18.39,148056,1.5762157805332802,1,114984.38732394367,0,Hashtags
IG0000062,2025-08-23 09:25:22.954916,62,1,3,71357,1052,4246,1060,1238595,1391880,92,5.58,77715,-0.0070419591586720065,0,115250.29181636726,0,Reels Feed
IG0000063,2024-12-17 09:25:22.954916,63,4,5,93544,7310,2118,4111,1727309,1928338,718,5.55,107083,1.5762157805332802,0,114984.38732394367,0,Profile
IG0000064,2025-03-20 09:25:22.954916,64,3,6,171840,2616,1547,13246,885241,978718,493,19.34,189249,0.08784211024389488,1,114632.7176658248,0,Explore
IG0000065,2025-06-27 09:25:22.954916,65,2,5,143899,2074,1844,8733,1730179,1798718,360,8.7,156550,-0.03784233807712889,1,114825.70437121722,0,Profile
IG0000066,2025-07-06 09:25:22.954916,66,2,2,159218,772,1580,11401,104738,323527,886,53.46,172971,0.014344171843597486,1,114825.70437121722,1,Hashtags
IG0000067,2025-07-04 09:25:22.954916,67,1,4,197177,9805,380,1748,933713,1259141,335,16.61,209110,0.014344171843597486,1,115250.29181636726,0,External
IG0000068,2025-04-22 09:25:22.954916,68,4,1,21996,273,641,8360,974583,1361013,524,2.3,31270,-0.004242380999987194,0,114984.38732394367,0,Home Feed
IG0000069,2024-12-31 09:25:22.954916,69,2,3,155671,5884,3487,6485,1678552,1764448,816,9.72,171527,1.5762157805332802,1,114825.70437121722,0,Reels Feed
IG0000070,2025-06-17 09:25:22.954916,70,2,4,5576,8050,1575,2781,1888156,2040636,358,0.88,17982,-0.03784233807712889,0,114825.70437121722,0,External
IG0000071,2025-02-08 09:25:22.954916,71,4,3,106477,3839,2184,13508,1140404,1404649,244,8.97,126008,-0.11259499490553204,1,114984.38732394367,0,Reels Feed
IG0000072,2025-05-09 09:25:22.954916,72,3,1,113592,2949,4820,7470,156274,187173,555,68.83,128831,0.03191992545539479,1,114632.7176658248,1,Home Feed
IG0000073,2025-07-26 09:25:22.954916,73,4,4,104651,5249,810,8738,619213,1085157,228,11.01,119448,0.014344171843597486,1,114984.38732394367,0,External
IG0000074,2025-10-30 09:25:22.954916,74,1,4,83034,9183,526,4208,888730,1321805,741,7.33,96951,0.09570235902554791,0,115250.29181636726,0,External
IG0000075,2025-01-23 09:25:22.954916,75,3,2,85288,6649,1946,14209,1915192,2083888,215,5.19,108092,0.040457964285091075,0,114632.7176658248,0,Hashtags
IG0000076,2025-04-12 09:25:22.954916,76,2,3,107296,2538,3498,8725,179126,485861,145,25.12,122057,-0.004242380999987194,1,114825.70437121722,0,Reels Feed
IG0000077,2025-06-29 09:25:22.954916,77,3,5,7473,3919,1702,12228,317075,606371,974,4.18,25322,-0.03784233807712889,0,114632.7176658248,0,Profile
IG0000078,2024-12-14 09:25:22.954916,78,2,3,135256,1370,1716,355,815701,1060272,73,13.08,138697,1.5762157805332802,1,114825.70437121722,0,Reels Feed
IG0000079,2025-10-20 09:25:22.954916,79,1,6,117267,7780,1588,13859,1572598,1797500,730,7.82,140494,0.09570235902554791,1,115250.29181636726,0,Explore
IG0000080,2025-06-02 09:25:22.954916,80,4,2,65028,8681,2275,12134,1947239,2239263,550,3.94,88118,-0.03784233807712889,0,114984.38732394367,0,Hashtags
IG0000081,2025-02-21 09:25:22.954916,81,2,4,141610,802,3811,14371,64268,443038,290,36.25,160594,-0.11259499490553204,1,114825.70437121722,1,External
IG0000082,2025-04-11 09:25:22.954916,82,2,2,66834,2239,371,14022,1485851,1867513,52,4.47,83466,-0.004242380999987194,0,114825.70437121722,0,Hashtags
IG0000083,2025-04-27 09:25:22.954916,83,3,4,102350,9235,3337,3119,1730370,2163241,632,5.46,118041,-0.004242380999987194,1,114632.7176658248,0,External
IG0000084,2025-06-26 09:25:22.954916,84,4,5,18145,918,1334,14380,73681,101181,214,34.37,34777,-0.03784233807712889,0,114984.38732394367,1,Profile
IG0000085,2025-01-03 09:25:22.954916,85,4,3,156766,7395,1090,1285,1464572,1684208,109,9.89,166536,0.040457964285091075,1,114984.38732394367,0,Reels Feed
IG0000086,2025-06-21 09:25:22.954916,86,4,1,123729,4381,3797,12094,1098291,1338284,615,10.76,144001,-0.03784233807712889,1,114984.38732394367,0,Home Feed
IG0000087,2025-07-09 09:25:22.954916,87,4,4,154182,392,4983,4489,847762,1154033,858,14.22,164046,0.014344171843597486,1,114984.38732394367,0,External
IG0000088,2025-08-11 09:25:22.954916,88,3,3,95680,2329,4662,7884,1306688,1535537,265,7.2,110555,-0.0070419591586720065,0,114632.7176658248,0,Reels Feed
IG0000089,2025-04-12 09:25:22.954916,89,4,6,160663,4139,3793,1658,87556,406434,550,41.89,170253,-0.004242380999987194,1,114984.38732394367,1,Explore
IG0000090,2025-03-06 09:25:22.954916,90,1,5,55683,5309,3403,9043,607197,618403,104,11.88,73438,0.08784211024389488,0,115250.29181636726,0,Profile
IG0000091,2025-06-02 09:25:22.954916,91,3,3,195724,8410,591,1447,471829,846725,852,24.35,206172,-0.03784233807712889,1,114632.7176658248,0,Reels Feed
IG0000092,2025-06-16 09:25:22.954916,92,4,5,87305,6399,1543,1558,1621801,1625567,749,5.96,96805,-0.03784233807712889,0,114984.38732394367,0,Profile
IG0000093,2025-08-03 09:25:22.954916,93,2,4,167420,1161,4152,7019,1006580,1220283,481,14.73,179752,-0.0070419591586720065,1,114825.70437121722,0,External
IG0000094,2025-08-30 09:25:22.954916,94,4,4,29728,5605,4181,8129,1016916,1401231,859,3.4,47643,-0.0070419591586720065,0,114984.38732394367,0,External
IG0000095,2025-09-10 09:25:22.954916,95,1,5,98620,9501,214,1719,1511037,1762107,576,6.25,110054,-0.07589373937921085,0,115250.29181636726,0,Profile
IG0000096,2025-02-01 09:25:22.954916,96,1,1,21554,2059,1984,4730,1952764,1969648,682,1.54,30327,-0.11259499490553204,0,115250.29181636726,0,Home Feed
IG0000097,2024-11-21 09:25:22.954916,97,2,4,161614,6644,2604,14819,30428,411145,534,45.16,185681,,1,114825.70437121722,1,External
IG0000098,2024-12-18 09:25:22.954916,98,3,2,184536,826,2215,7962,452418,582844,914,33.55,195539,1.5762157805332802,1,114632.7176658248,1,Hashtags
IG0000099,2025-01-31 09:25:22.954916,99,2,2,126446,2264,1694,1253,1273005,1333809,340,9.87,131657,0.040457964285091075,1,114825.70437121722,0,Hashtags
IG0000100,2024-11-21 09:25:22.954916,100,3,4,192838,9209,3916,4460,891372,1179545,335,17.84,210423,,1,114632.7176658248,0,External
IG0000101,2025-02-18 09:25:22.954916,101,2,1,181564,787,2880,8201,559188,742288,31,26.06,193432,-0.11259499490553204,1,114825.70437121722,0,Home Feed
IG0000102,2025-06-16 09:25:22.954916,102,3,1,79103,6492,3257,12182,1233808,1600479,445,6.31,101034,-0.03784233807712889,0,114632.7176658248,0,Home Feed
IG0000103,2024-12-19 09:25:22.954916,103,2,6,188854,886,2611,1718,393280,833126,105,23.29,194069,1.5762157805332802,1,114825.70437121722,0,Explore
IG0000104,2025-11-16 09:25:22.954916,104,2,5,27630,9481,2569,13511,482142,763035,905,6.97,53191,-0.36360818237712866,0,114825.70437121722,0,Profile
IG0000105,2025-01-26 09:25:22.954916,105,1,3,191217,3398,4496,6445,1312951,1733118,934,11.86,205556,0.040457964285091075,1,115250.29181636726,0,Reels Feed
IG0000106,2025-03-11 09:25:22.954916,106,4,5,87108,4315,358,13138,1025653,1415280,205,7.41,104919,0.08784211024389488,0,114984.38732394367,0,Profile
IG0000107,2025-06-29 09:25:22.954916,107,4,4,56225,247,3854,12530,1546578,1988473,975,3.66,72856,-0.03784233807712889,0,114984.38732394367,0,External
IG0000108,2025-06-02 09:25:22.954916,108,4,2,183586,8390,2031,7374,929139,1351603,442,14.9,201381,-0.03784233807712889,1,114984.38732394367,0,Hashtags
IG0000109,2025-06-26 09:25:22.954916,109,1,1,156172,3538,727,11248,616730,832190,170,20.63,171685,-0.03784233807712889,1,115250.29181636726,0,Home Feed
IG0000110,2025-03-28 09:25:22.954916,110,1,1,98038,1812,4909,8253,729344,806233,842,14.02,113012,0.08784211024389488,0,115250.29181636726,0,Home Feed
IG0000111,2025-04-07 09:25:22.954916,111,3,4,125095,48,1024,3457,1172580,1575062,724,8.23,129624,-0.004242380999987194,1,114632.7176658248,0,External
IG0000112,2025-08-15 09:25:22.954916,112,2,2,131540,6006,4281,2057,497056,878382,109,16.38,143884,-0.0070419591586720065,1,114825.70437121722,0,Hashtags
IG0000113,2025-04-30 09:25:22.954916,113,4,6,20835,5179,2336,14405,1797356,1976451,41,2.16,42755,-0.004242380999987194,0,114984.38732394367,0,Explore
IG0000114,2025-03-05 09:25:22.954916,114,2,6,172907,5971,4507,9979,659383,1003706,71,19.27,193364,0.08784211024389488,1,114825.70437121722,0,Explore
IG0000115,2025-05-12 09:25:22.954916,115,4,6,112677,9911,446,3268,732450,1116057,151,11.32,126302,0.03191992545539479,1,114984.38732394367,0,Explore
IG0000116,2025-02-05 09:25:22.954916,116,2,3,141901,3362,1679,13327,1979483,2274387,444,7.05,160269,-0.11259499490553204,1,114825.70437121722,0,Reels Feed
IG0000117,2025-07-29 09:25:22.954916,117,3,4,188652,1878,1122,13462,26232,306665,964,66.89,205114,0.014344171843597486,1,114632.7176658248,1,External
IG0000118,2025-04-30 09:25:22.954916,118,2,3,125362,4667,4311,9556,913327,1007240,95,14.29,143896,-0.004242380999987194,1,114825.70437121722,0,Reels Feed
IG0000119,2025-03-10 09:25:22.954916,119,2,4,198873,7025,713,1483,681346,1132193,495,18.38,208094,0.08784211024389488,1,114825.70437121722,0,External
IG0000120,2025-04-20 09:25:22.954916,120,2,3,105175,2900,1311,4059,492754,592063,881,19.16,113445,-0.004242380999987194,0,114825.70437121722,0,Reels Feed
IG0000121,2025-06-24 09:25:22.954916,121,3,3,106243,5998,3962,9589,170468,170810,88,73.64,125792,-0.03784233807712889,1,114632.7176658248,1,Reels Feed
IG0000122,2024-12-22 09:25:22.954916,122,2,2,8278,8409,3444,6566,3533,206205,291,12.95,26697,1.5762157805332802,0,114825.70437121722,0,Hashtags
IG0000123,2025-10-30 09:25:22.954916,123,1,3,155651,1008,2354,13922,1241485,1535684,196,11.26,172935,0.09570235902554791,1,115250.29181636726,0,Reels Feed
IG0000124,2025-10-10 09:25:22.954916,124,2,3,29119,3053,3059,4117,391124,678377,762,5.8,39348,0.09570235902554791,0,114825.70437121722,0,Reels Feed
IG0000125,2025-06-14 09:25:22.954916,125,3,3,92077,5213,560,2688,773023,857066,313,11.73,100538,-0.03784233807712889,0,114632.7176658248,0,Reels Feed
IG0000126,2025-09-24 09:25:22.954916,126,3,6,164084,6443,579,4113,1305598,1792580,817,9.77,175219,-0.07589373937921085,1,114632.7176658248,0,Explore
IG0000127,2025-06-07 09:25:22.954916,127,4,6,75323,314,2543,1038,397890,842626,755,9.4,79218,-0.03784233807712889,0,114984.38732394367,0,Explore
IG0000128,2025-07-13 09:25:22.954916,128,2,1,77733,7827,4545,2868,1069988,1403140,594,6.63,92973,0.014344171843597486,0,114825.70437121722,0,Home Feed
IG0000129,2024-12-13 09:25:22.954916,129,2,3,107334,5737,2054,2492,958579,1212180,314,9.7,117617,1.5762157805332802,1,114825.70437121722,0,Reels Feed
IG0000130,2025-08-14 09:25:22.954916,130,3,2,66481,9669,4250,9776,179446,237877,622,37.91,90176,-0.0070419591586720065,0,114632.7176658248,1,Hashtags
IG0000131,2024-11-24 09:25:22.954916,131,2,5,106325,564,3324,4707,609657,857701,423,13.4,114920,,0,114825.70437121722,0,Profile
IG0000132,2025-10-02 09:25:22.954916,132,2,1,120220,8553,1481,14009,865197,963760,308,14.97,144263,0.09570235902554791,1,114825.70437121722,0,Home Feed
IG0000133,2025-09-29 09:25:22.954916,133,3,4,42971,4204,3072,14108,1781834,2032531,998,3.17,64355,-0.07589373937921085,0,114632.7176658248,0,External
IG0000134,2025-04-29 09:25:22.954916,134,2,6,149861,8529,4536,8564,1130190,1434349,132,11.96,171490,-0.004242380999987194,1,114825.70437121722,0,Explore
IG0000135,2025-02-04 09:25:22.954916,135,1,3,6544,6524,2842,10643,272538,532021,934,4.99,26553,-0.11259499490553204,0,115250.29181636726,0,Reels Feed
IG0000136,2025-04-10 09:25:22.954916,136,3,6,159079,4144,3376,8275,1316167,1403833,980,12.46,174874,-0.004242380999987194,1,114632.7176658248,0,Explore
IG0000137,2024-12-07 09:25:22.954916,137,3,5,30825,904,3935,3872,1760549,1956853,473,2.02,39536,1.5762157805332802,0,114632.7176658248,0,Profile
IG0000138,2025-06-11 09:25:22.954916,138,1,4,82728,3568,3728,9882,1606129,1845474,372,5.41,99906,-0.03784233807712889,0,115250.29181636726,0,External
IG0000139,2025-08-31 09:25:22.954916,139,4,1,112420,3292,1416,167,1830574,1848880,189,6.34,117295,-0.0070419591586720065,1,114984.38732394367,0,Home Feed
IG0000140,2025-08-21 09:25:22.954916,140,1,2,184138,8493,4629,5929,1284686,1689532,337,12.03,203189,-0.0070419591586720065,1,115250.29181636726,0,Hashtags
IG0000141,2025-01-20 09:25:22.954916,141,2,2,79883,8961,927,12631,1471401,1769818,622,5.79,102402,0.040457964285091075,0,114825.70437121722,0,Hashtags
IG0000142,2025-04-25 09:25:22.954916,142,2,2,94825,7170,2268,9313,1484988,1737695,144,6.54,113576,-0.004242380999987194,0,114825.70437121722,0,Hashtags
IG0000143,2025-05-25 09:25:22.954916,143,3,2,173,8780,2633,2584,305909,670468,738,2.11,14170,0.03191992545539479,0,114632.7176658248,0,Hashtags
IG0000144,2025-01-11 09:25:22.954916,144,4,6,109921,4198,2191,5713,1591949,1596080,331,7.65,122023,0.040457964285091075,1,114984.38732394367,0,Explore
IG0000145,2024-12-06 09:25:22.954916,145,2,4,24424,2637,2398,12097,958324,1327831,59,3.13,41556,1.5762157805332802,0,114825.70437121722,0,External
IG0000146,2025-11-08 09:25:22.954916,146,2,4,71608,7462,433,9154,819378,1070379,851,8.28,88657,-0.36360818237712866,0,114825.70437121722,0,External
IG0000147,2025-08-08 09:25:22.954916,147,4,3,182434,7859,27,4731,1428502,1747252,345,11.16,195051,-0.0070419591586720065,1,114984.38732394367,0,Reels Feed
IG0000148,2025-10-01 09:25:22.954916,148,3,5,95509,6295,258,10755,876963,1241978,740,9.08,112817,0.09570235902554791,0,114632.7176658248,0,Profile
IG0000149,2025-06-19 09:25:22.954916,149,1,1,135425,4046,3037,1064,598868,743367,59,19.31,143572,-0.03784233807712889,1,115250.29181636726,0,Home Feed
IG0000150,2025-07-18 09:25:22.954916,150,2,2,27095,2476,4934,14737,1983868,2439839,265,2.02,49242,0.014344171843597486,0,114825.70437121722,0,Hashtags
IG0000151,2025-04-23 09:25:22.954916,151,3,6,133491,4282,4741,10767,976154,1152275,912,13.3,153281,-0.004242380999987194,1,114632.7176658248,0,Explore
IG0000152,2025-06-19 09:25:22.954916,152,4,5,172245,9740,2089,349,1745042,1778596,511,10.37,184423,-0.03784233807712889,1,114984.38732394367,0,Profile
IG0000153,2025-09-04 09:25:22.954916,153,1,2,186969,7466,1905,5084,442302,736054,78,27.37,201424,-0.07589373937921085,1,115250.29181636726,0,Hashtags
IG0000154,2025-06-25 09:25:22.954916,154,4,2,156102,3713,680,13674,373156,625443,346,27.85,174169,-0.03784233807712889,1,114984.38732394367,0,Hashtags
IG0000155,2024-12-17 09:25:22.954916,155,2,5,107713,4603,4570,6585,1604853,1961630,40,6.29,123471,1.5762157805332802,1,114825.70437121722,0,Profile
IG0000156,2025-05-17 09:25:22.954916,156,3,5,165728,7755,3244,11242,131887,261027,908,72.01,187969,0.03191992545539479,1,114632.7176658248,1,Profile
IG0000157,2025-09-27 09:25:22.954916,157,3,6,145669,2901,4194,3756,1180015,1191259,282,13.14,156520,-0.07589373937921085,1,114632.7176658248,0,Explore
IG0000158,2025-05-20 09:25:22.954916,158,3,5,199705,334,4195,14154,462462,739697,474,29.52,218388,0.03191992545539479,1,114632.7176658248,0,Profile
IG0000159,2025-09-05 09:25:22.954916,159,3,3,23488,4135,1231,253,948897,1036538,142,2.81,29107,-0.07589373937921085,0,114632.7176658248,0,Reels Feed
IG0000160,2025-06-20 09:25:22.954916,160,4,4,76948,2419,2742,3811,3190,21115,840,406.91,85920,-0.03784233807712889,0,114984.38732394367,1,External
IG0000161,2025-09-01 09:25:22.954916,161,2,6,38176,9354,3953,8597,1045076,1255368,59,4.79,60080,-0.07589373937921085,0,114825.70437121722,0,Explore
IG0000162,2024-12-23 09:25:22.954916,162,3,3,8111,4291,4296,8224,1442988,1790156,459,1.39,24922,1.5762157805332802,0,114632.7176658248,0,Reels Feed
IG0000163,2025-09-28 09:25:22.954916,163,3,3,154462,8482,3068,1260,1210347,1434526,866,11.66,167272,-0.07589373937921085,1,114632.7176658248,0,Reels Feed
IG0000164,2025-02-07 09:25:22.954916,164,3,6,99584,1708,3346,11986,1539906,1759483,646,6.63,116624,-0.11259499490553204,1,114632.7176658248,0,Explore
IG0000165,2025-05-06 09:25:22.954916,165,1,6,53192,667,429,11352,1076486,1469300,363,4.47,65640,0.03191992545539479,0,115250.29181636726,0,Explore
IG0000166,2025-08-27 09:25:22.954916,166,4,1,80156,9626,300,1786,865393,1040081,644,8.83,91868,-0.0070419591586720065,0,114984.38732394367,0,Home Feed
IG0000167,2025-09-11 09:25:22.954916,167,3,3,85508,4309,4829,8868,373817,462180,866,22.4,103514,-0.07589373937921085,0,114632.7176658248,0,Reels Feed
IG0000168,2025-01-02 09:25:22.954916,168,1,4,153130,9023,1136,2860,1422456,1811431,837,9.17,166149,0.040457964285091075,1,115250.29181636726,0,External
